Íאחגאםטו עמגאנא,Öוםא עמגאנא,Ñסûכךא םא עמגאנ
"Ïנמצוססמנ Intel Pentium Gold G6600 BOX [LGA 1200, 2 x 4200 ÌÃצ, L2 - 512 ÊÁ, L3 - 4 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 58 Âע, ךףכונ]",9699,https://www.dns-shop.ru/product/da604d916a723332/processor-intel-pentium-gold-g6600-box/
"Ïנמצוססמנ Intel Pentium Gold G5420 BOX [LGA 1151-v2, 2 x 3800 ÌÃצ, L2 - 512 ÊÁ, L3 - 4 ÌÁ, 2ץDDR4-2400 ÌÃצ, Intel UHD Graphics 610, TDP 54 Âע, ךףכונ]",9950,https://www.dns-shop.ru/product/69ec017975253332/processor-intel-pentium-gold-g5420-box/
"Ïנמצוססמנ AMD Ryzen 5 1600 OEM [AM4, 6 x 3200 ÌÃצ, L2 - 3 Ìב, L3 - 16 Ìב, 2ץDDR4-2667 ÌÃצ, TDP 65 Âע]",10499,https://www.dns-shop.ru/product/50d9ef7dba443332/processor-amd-ryzen-5-1600-oem/
"Ïנמצוססמנ AMD Ryzen 5 3500 OEM [AM4, 6 x 3600 ÌÃצ, L2 - 3 Ìב, L3 - 16 Ìב, 2ץDDR4-3200 ÌÃצ, TDP 65 Âע]",10899,https://www.dns-shop.ru/product/f7d57c0ce1aa3332/processor-amd-ryzen-5-3500-oem/
"Ïנמצוססמנ AMD Ryzen 3 3100 OEM [AM4, 4 x 3600 ÌÃצ, L2 - 2 ÌÁ, L3 - 16 Ìב, 2ץDDR4-3200 ÌÃצ, TDP 65 Âע]",11799,https://www.dns-shop.ru/product/853e222e98b93332/processor-amd-ryzen-3-3100-oem/
"Ïנמצוססמנ AMD Ryzen 5 2600X OEM [AM4, 6 x 3600 ÌÃצ, L2 - 3 Ìב, L3 - 16 Ìב, 2ץDDR4-2933 ÌÃצ, TDP 95 Âע]",11799,https://www.dns-shop.ru/product/ca54e8e8275c3330/processor-amd-ryzen-5-2600x-oem/
"Ïנמצוססמנ Intel Core i3-10105F OEM [LGA 1200, 4 x 3700 ÌÃצ, L3 - 6 ÌÁ, 2ץDDR4-2666 ÌÃצ, TDP 65 Âע]",11999,https://www.dns-shop.ru/product/ff78b73d6c153332/processor-intel-core-i3-10105f-oem/
"Ïנמצוססמנ AMD Ryzen 5 3500X OEM [AM4, 6 x 3600 ÌÃצ, L2 - 3 Ìב, L3 - 32 ÌÁ, 2ץDDR4-3200 ÌÃצ, TDP 65 Âע]",12199,https://www.dns-shop.ru/product/9becbea51d401b80/processor-amd-ryzen-5-3500x-oem/
"Ïנמצוססמנ AMD Ryzen 5 1600 BOX [AM4, 6 x 3200 ÌÃצ, L2 - 3 Ìב, L3 - 16 Ìב, 2ץDDR4-2667 ÌÃצ, TDP 65 Âע, ךףכונ]",12299,https://www.dns-shop.ru/product/bef12fd0f0643332/processor-amd-ryzen-5-1600-box/
"Ïנמצוססמנ AMD Ryzen 5 2600 OEM [AM4, 6 x 3400 ÌÃצ, L2 - 3 Ìב, L3 - 16 Ìב, 2ץDDR4-2933 ÌÃצ, TDP 65 Âע]",12299,https://www.dns-shop.ru/product/3d02682f275d3330/processor-amd-ryzen-5-2600-oem/
"Ïנמצוססמנ Intel Core i3-10100F OEM [LGA 1200, 4 x 3600 ÌÃצ, L2 - 1 ÌÁ, L3 - 6 ÌÁ, 2ץDDR4-2666 ÌÃצ, TDP 65 Âע]",12299,https://www.dns-shop.ru/product/5371fd83f32a3332/processor-intel-core-i3-10100f-oem/
"Ïנמצוססמנ Intel Core i3-10100F BOX [LGA 1200, 4 x 3600 ÌÃצ, L2 - 1 ÌÁ, L3 - 6 ÌÁ, 2ץDDR4-2666 ÌÃצ, TDP 65 Âע, ךףכונ]",12599,https://www.dns-shop.ru/product/d9ac6f2cf3293332/processor-intel-core-i3-10100f-box/
"Ïנמצוססמנ Intel Core i3-9100F OEM [LGA 1151-v2, 4 x 3600 ÌÃצ, L2 - 1 ÌÁ, L3 - 6 ÌÁ, 2ץDDR4-2400 ÌÃצ, TDP 65 Âע]",12599,https://www.dns-shop.ru/product/c6d57433d07c3332/processor-intel-core-i3-9100f-oem/
"Ïנמצוססמנ AMD Ryzen 5 2600 BOX [AM4, 6 x 3400 ÌÃצ, L2 - 3 Ìב, L3 - 16 Ìב, 2ץDDR4-2933 ÌÃצ, TDP 65 Âע, ךףכונ]",12699,https://www.dns-shop.ru/product/06bf9e32275d3330/processor-amd-ryzen-5-2600-box/
"Ïנמצוססמנ Intel Core i3-9100F BOX [LGA 1151-v2, 4 x 3600 ÌÃצ, L2 - 1 ÌÁ, L3 - 6 ÌÁ, 2ץDDR4-2400 ÌÃצ, TDP 65 Âע, ךףכונ]",13199,https://www.dns-shop.ru/product/06b8759264b71b80/processor-intel-core-i3-9100f-box/
"Ïנמצוססמנ AMD Ryzen 5 2600X BOX [AM4, 6 x 3600 ÌÃצ, L2 - 3 Ìב, L3 - 16 Ìב, 2ץDDR4-2933 ÌÃצ, TDP 95 Âע, ךףכונ]",13499,https://www.dns-shop.ru/product/e7c9fe6e275b3330/processor-amd-ryzen-5-2600x-box/
"Ïנמצוססמנ Intel Core i3-10105 OEM [LGA 1200, 4 x 3700 ÌÃצ, L3 - 6 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע]",13999,https://www.dns-shop.ru/product/f9b436a76c163332/processor-intel-core-i3-10105-oem/
"Ïנמצוססמנ Intel Core i3-10100 BOX [LGA 1200, 4 x 3600 ÌÃצ, L2 - 1 ÌÁ, L3 - 6 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע, ךףכונ]",14299,https://www.dns-shop.ru/product/756a1f786a703332/processor-intel-core-i3-10100-box/
"Ïנמצוססמנ Intel Core i3-10100 OEM [LGA 1200, 4 x 3600 ÌÃצ, L2 - 1 ÌÁ, L3 - 6 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע]",14299,https://www.dns-shop.ru/product/a66091f96a703332/processor-intel-core-i3-10100-oem/
"Ïנמצוססמנ Intel Core i3-10105 BOX [LGA 1200, 4 x 3700 ÌÃצ, L3 - 6 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע, ךףכונ]",14299,https://www.dns-shop.ru/product/73d1b8bd6c163332/processor-intel-core-i3-10105-box/
"Ïנמצוססמנ AMD Ryzen 3 PRO 3200G OEM [AM4, 4 x 3600 ÌÃצ, L2 - 2 ÌÁ, L3 - 4 ÌÁ, 2ץDDR4-2933 ÌÃצ, Radeon Vega 8, TDP 65 Âע]",14799,https://www.dns-shop.ru/product/cbe7fdea7e2e1b80/processor-amd-ryzen-3-pro-3200g-oem/
"Ïנמצוססמנ AMD Ryzen 3 PRO 3200GE OEM [AM4, 4 x 3300 ÌÃצ, L2 - 2 ÌÁ, L3 - 4 ÌÁ, 2ץDDR4-2933 ÌÃצ, Radeon Vega 8, TDP 35 Âע]",14799,https://www.dns-shop.ru/product/8e9d6a7459433332/processor-amd-ryzen-3-pro-3200ge-oem/
"Ïנמצוססמנ Intel Core i5-9400F OEM [LGA 1151-v2, 6 x 2900 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 9 Ìב, 2ץDDR4-2666 ÌÃצ, TDP 65 Âע]",14999,https://www.dns-shop.ru/product/cace956417a13332/processor-intel-core-i5-9400f-oem/
"Ïנמצוססמנ AMD Ryzen 5 3600 OEM [AM4, 6 x 3600 ÌÃצ, L2 - 3 Ìב, L3 - 32 ÌÁ, 2ץDDR4-3200 ÌÃצ, TDP 65 Âע]",15299,https://www.dns-shop.ru/product/b9c6465190d21b80/processor-amd-ryzen-5-3600-oem/
"Ïנמצוססמנ Intel Core i5-9400F BOX [LGA 1151-v2, 6 x 2900 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 9 Ìב, 2ץDDR4-2666 ÌÃצ, TDP 65 Âע, ךףכונ]",15399,https://www.dns-shop.ru/product/9cd0dbe117a13332/processor-intel-core-i5-9400f-box/
"Ïנמצוססמנ Intel Core i5-9600KF OEM [LGA 1151-v2, 6 x 3700 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 9 Ìב, 2ץDDR4-2666 ÌÃצ, TDP 95 Âע]",15899,https://www.dns-shop.ru/product/16a6ea36ce0c3332/processor-intel-core-i5-9600kf-oem/
"Ïנמצוססמנ AMD Ryzen 3 3200G BOX [AM4, 4 x 3600 ÌÃצ, L2 - 2 ÌÁ, L3 - 4 ÌÁ, 2ץDDR4-2933 ÌÃצ, Radeon Vega 8, TDP 65 Âע, ךףכונ]",15999,https://www.dns-shop.ru/product/6145950aa2162eb1/processor-amd-ryzen-3-3200g-box/
"Ïנמצוססמנ Intel Core i5-9600KF BOX [LGA 1151-v2, 6 x 3700 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 9 Ìב, 2ץDDR4-2666 ÌÃצ, TDP 95 Âע]",16799,https://www.dns-shop.ru/product/1af5286317a03332/processor-intel-core-i5-9600kf-box/
"Ïנמצוססמנ Intel Core i5-10600KF OEM [LGA 1200, 6 x 4100 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, TDP 125 Âע]",16899,https://www.dns-shop.ru/product/ed1c99f86a683332/processor-intel-core-i5-10600kf-oem/
"Ïנמצוססמנ Intel Core i5-10400F OEM [LGA 1200, 6 x 2900 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, TDP 65 Âע]",17099,https://www.dns-shop.ru/product/b60145356a693332/processor-intel-core-i5-10400f-oem/
"Ïנמצוססמנ Intel Core i5-10400F OEM [LGA 1200, 6 x 2900 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, TDP 65 Âע]",17099,https://www.dns-shop.ru/product/15840a2cf6ea1b80/processor-intel-core-i5-10400f-oem/
"Ïנמצוססמנ Intel Core i5-9600K BOX [LGA 1151-v2, 6 x 3700 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 9 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 95 Âע]",17099,https://www.dns-shop.ru/product/2bad28b8bfd13330/processor-intel-core-i5-9600k-box/
"Ïנמצוססמנ AMD Ryzen 5 PRO 3400G OEM [AM4, 4 x 3700 ÌÃצ, L2 - 2 ÌÁ, L3 - 4 ÌÁ, 2ץDDR4-2933 ÌÃצ, Radeon Vega 11, TDP 65 Âע]",17199,https://www.dns-shop.ru/product/c7129d355c473332/processor-amd-ryzen-5-pro-3400g-oem/
"Ïנמצוססמנ Intel Core i5-9600K OEM [LGA 1151-v2, 6 x 3700 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 9 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 95 Âע]",17199,https://www.dns-shop.ru/product/ccb4e72fb73d1b80/processor-intel-core-i5-9600k-oem/
"Ïנמצוססמנ AMD Ryzen 5 3600X OEM [AM4, 6 x 3800 ÌÃצ, L2 - 3 Ìב, L3 - 32 ÌÁ, 2ץDDR4-3200 ÌÃצ, TDP 95 Âע]",17299,https://www.dns-shop.ru/product/5cfcb2b290d31b80/processor-amd-ryzen-5-3600x-oem/
"Ïנמצוססמנ Intel Core i5-10400F BOX [LGA 1200, 6 x 2900 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, TDP 65 Âע, ךףכונ]",17499,https://www.dns-shop.ru/product/e9c733de6a693332/processor-intel-core-i5-10400f-box/
"Ïנמצוססמנ Intel Core i5-8600K BOX [LGA 1151-v2, 6 x 3600 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 9 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 95 Âע]",17499,https://www.dns-shop.ru/product/ff55252e8e183330/processor-intel-core-i5-8600k-box/
"Ïנמצוססמנ AMD Ryzen 5 3350G OEM [AM4, 4 x 3600 ÌÃצ, L2 - 2 ÌÁ, L3 - 4 ÌÁ, 2ץDDR4-2933 ÌÃצ, Radeon Graphics, TDP 65 Âע]",17599,https://www.dns-shop.ru/product/8498d66411e73332/processor-amd-ryzen-5-3350g-oem/
"Ïנמצוססמנ AMD Ryzen 5 3600 BOX [AM4, 6 x 3600 ÌÃצ, L2 - 3 Ìב, L3 - 32 ÌÁ, 2ץDDR4-3200 ÌÃצ, TDP 65 Âע, ךףכונ]",17699,https://www.dns-shop.ru/product/d9e1205990d11b80/processor-amd-ryzen-5-3600-box/
"Ïנמצוססמנ Intel Core i5-10600KF BOX [LGA 1200, 6 x 4100 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, TDP 125 Âע]",17699,https://www.dns-shop.ru/product/bb2ecaa36a683332/processor-intel-core-i5-10600kf-box/
"Ïנמצוססמנ Intel Core i5-11400F BOX [LGA 1200, 6 x 2600 ÌÃצ, L3 - 12 Ìב, 2ץDDR4-3200 ÌÃצ, TDP 65 Âע, ךףכונ]",17699,https://www.dns-shop.ru/product/00c1301d6c303332/processor-intel-core-i5-11400f-box/
"Ïנמצוססמנ Intel Core i5-9400 OEM [LGA 1151-v2, 6 x 2900 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 9 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע]",17699,https://www.dns-shop.ru/product/566cac19cd323332/processor-intel-core-i5-9400-oem/
"Ïנמצוססמנ AMD Ryzen 5 3400G BOX [AM4, 4 x 3700 ÌÃצ, L2 - 2 ÌÁ, L3 - 4 ÌÁ, 2ץDDR4-2933 ÌÃצ, Radeon Vega 11, TDP 65 Âע, ךףכונ]",17999,https://www.dns-shop.ru/product/fa309b4ba0a02eb1/processor-amd-ryzen-5-3400g-box/
"Ïנמצוססמנ AMD Ryzen 7 PRO 2700 OEM [AM4, 8 x 3200 ÌÃצ, L2 - 4 ÌÁ, L3 - 16 Ìב, 2ץDDR4-2933 ÌÃצ, TDP 65 Âע]",17999,https://www.dns-shop.ru/product/762609aef72a3332/processor-amd-ryzen-7-pro-2700-oem/
"Ïנמצוססמנ Intel Core i5-9400 BOX [LGA 1151-v2, 6 x 2900 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 9 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע, ךףכונ]",17999,https://www.dns-shop.ru/product/fa5d55f817a03332/processor-intel-core-i5-9400-box/
"Ïנמצוססמנ AMD Ryzen 7 2700X BOX [AM4, 8 x 3700 ÌÃצ, L2 - 4 ÌÁ, L3 - 16 Ìב, 2ץDDR4-2933 ÌÃצ, TDP 105 Âע, ךףכונ]",18199,https://www.dns-shop.ru/product/50e47a6527593330/processor-amd-ryzen-7-2700x-box/
"Ïנמצוססמנ Intel Core i5-11400 OEM [LGA 1200, 6 x 2600 ÌÃצ, L3 - 12 Ìב, 2ץDDR4-3200 ÌÃצ, Intel UHD Graphics 730, TDP 65 Âע]",18199,https://www.dns-shop.ru/product/a4396c106c2f3332/processor-intel-core-i5-11400-oem/
"Ïנמצוססמנ Intel Core i5-10500 OEM [LGA 1200, 6 x 3100 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע]",18399,https://www.dns-shop.ru/product/2c5c72736a6d3332/processor-intel-core-i5-10500-oem/
"Ïנמצוססמנ Intel Core i5-10400 BOX [LGA 1200, 6 x 2900 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע, ךףכונ]",18599,https://www.dns-shop.ru/product/851c86c06a6d3332/processor-intel-core-i5-10400-box/
"Ïנמצוססמנ Intel Core i5-10400 OEM [LGA 1200, 6 x 2900 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע]",18599,https://www.dns-shop.ru/product/5cb1e10ee0f03332/processor-intel-core-i5-10400-oem/
"Ïנמצוססמנ Intel Core i5-10400 OEM [LGA 1200, 6 x 2900 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע]",18599,https://www.dns-shop.ru/product/c1ff7d286a6d3332/processor-intel-core-i5-10400-oem/
"Ïנמצוססמנ Intel Core i5-11500 OEM [LGA 1200, 6 x 2700 ÌÃצ, L3 - 12 Ìב, 2ץDDR4-3200 ÌÃצ, Intel UHD Graphics 750, TDP 65 Âע]",18599,https://www.dns-shop.ru/product/f42a8ee16c2e3332/processor-intel-core-i5-11500-oem/
"Ïנמצוססמנ Intel Core i5-10600 OEM [LGA 1200, 6 x 3300 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע]",18999,https://www.dns-shop.ru/product/7f581b6a6a6a3332/processor-intel-core-i5-10600-oem/
"Ïנמצוססמנ Intel Core i5-11400 BOX [LGA 1200, 6 x 2600 ÌÃצ, L3 - 12 Ìב, 2ץDDR4-3200 ÌÃצ, Intel UHD Graphics 730, TDP 65 Âע, ךףכונ]",18999,https://www.dns-shop.ru/product/450088926c2f3332/processor-intel-core-i5-11400-box/
"Ïנמצוססמנ Intel Core i5-11500 BOX [LGA 1200, 6 x 2700 ÌÃצ, L3 - 12 Ìב, 2ץDDR4-3200 ÌÃצ, Intel UHD Graphics 750, TDP 65 Âע, ךףכונ]",18999,https://www.dns-shop.ru/product/ab01d8126c2e3332/processor-intel-core-i5-11500-box/
"Ïנמצוססמנ Intel Core i5-10500 BOX [LGA 1200, 6 x 3100 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע, ךףכונ]",19099,https://www.dns-shop.ru/product/07131cdb6a6d3332/processor-intel-core-i5-10500-box/
"Ïנמצוססמנ Intel Core i5-10600K OEM [LGA 1200, 6 x 4100 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 125 Âע]",19399,https://www.dns-shop.ru/product/56e91efb6a653332/processor-intel-core-i5-10600k-oem/
"Ïנמצוססמנ Intel Core i5-10600 BOX [LGA 1200, 6 x 3300 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 65 Âע, ךףכונ]",19899,https://www.dns-shop.ru/product/4f9360b36a6a3332/processor-intel-core-i5-10600-box/
"Ïנמצוססמנ AMD Ryzen 5 3600X BOX [AM4, 6 x 3800 ÌÃצ, L2 - 3 Ìב, L3 - 32 ÌÁ, 2ץDDR4-3200 ÌÃצ, TDP 95 Âע, ךףכונ]",19999,https://www.dns-shop.ru/product/2acb6b6090d31b80/processor-amd-ryzen-5-3600x-box/
"Ïנמצוססמנ Intel Core i5-10600K BOX [LGA 1200, 6 x 4100 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 125 Âע]",20399,https://www.dns-shop.ru/product/2ee2c4316a653332/processor-intel-core-i5-10600k-box/
"Ïנמצוססמנ Intel Core i5-10600K Marvels Avengers Collectors Edition BOX [LGA 1200, 6 x 4100 ÌÃצ, L2 - 1.5 ÌÁ, L3 - 12 Ìב, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 125 Âע]",20699,https://www.dns-shop.ru/product/38ee6111cd6e3332/processor-intel-core-i5-10600k-marvels-avengers-collectors-edition-box/
"Ïנמצוססמנ Intel Core i5-11600 OEM [LGA 1200, 6 x 2800 ÌÃצ, L3 - 12 Ìב, 2ץDDR4-3200 ÌÃצ, Intel UHD Graphics 750, TDP 65 Âע]",21099,https://www.dns-shop.ru/product/514f6f4c6c2e3332/processor-intel-core-i5-11600-oem/
"Ïנמצוססמנ AMD Ryzen 5 3600XT BOX [AM4, 6 x 3800 ÌÃצ, L2 - 3 Ìב, L3 - 32 ÌÁ, 2ץDDR4-3200 ÌÃצ, TDP 95 Âע, ךףכונ]",21299,https://www.dns-shop.ru/product/2489cb7bb9b61b80/processor-amd-ryzen-5-3600xt-box/
